date,open,high,low,close,volume
2019-08-16,31.25,32.42,31.25,32.03,388746
2019-08-19,32.55,33.42,32.27,32.46,253185
2019-08-20,32.34,32.95,32.25,32.66,251320
2019-08-21,33.05,33.6,32.94,33.5,625311
2019-08-22,33.52,33.81,33.11,33.37,237717
2019-08-23,33.19,33.36,31.52,31.82,301586
2019-08-26,32.33,32.84,31.65,32.02,213191
2019-08-27,32.26,32.26,30.84,31.18,230979
2019-08-28,31.0,31.73,30.71,31.51,174444
2019-08-29,31.87,32.27,31.66,32.01,203580
2019-08-30,32.18,32.84,31.88,32.49,241394
2019-09-03,32.09,32.36,31.62,32.04,569047
2019-09-04,32.42,33.53,32.42,33.42,336987
2019-09-05,33.77,34.31,33.75,33.9,448939
2019-09-06,33.95,33.95,33.5,33.83,213277
2019-09-09,33.97,34.54,33.91,34.44,326704
2019-09-10,34.5,35.05,34.27,34.52,696008
2019-09-11,34.55,34.79,34.32,34.68,532486
2019-09-12,34.58,34.82,33.88,34.49,495067
2019-09-13,34.5,35.11,34.47,34.93,718288
