date,open,high,low,close,volume
2019-08-16,109.81,111.25,109.2,110.52,2832981
2019-08-19,113.06,113.72,110.81,111.17,2784622
2019-08-20,110.37,111.46,109.93,110.29,2255070
2019-08-21,109.0,111.7,107.78,108.59,3236529
2019-08-22,108.55,109.4,107.22,108.63,2761428
2019-08-23,106.98,107.51,103.72,104.17,4382782
2019-08-26,105.57,106.09,105.0,106.03,2510354
2019-08-27,107.29,107.79,106.32,107.05,2222670
2019-08-28,106.44,108.06,105.83,108.03,1553284
2019-08-29,109.26,110.37,108.84,109.02,1949143
2019-08-30,109.96,110.96,109.17,109.83,1881677
2019-09-03,108.71,108.95,105.83,106.38,2607300
2019-09-04,108.21,109.23,108.14,109.19,1181117
2019-09-05,111.27,113.9,111.1,113.02,2294821
2019-09-06,113.22,113.55,112.43,112.67,1217073
2019-09-09,113.19,113.77,112.28,112.87,1208626
2019-09-10,112.36,113.98,111.25,113.98,1459727
2019-09-11,114.03,116.38,113.21,115.04,2387327
2019-09-12,118.0,118.46,115.53,116.21,2053699
2019-09-13,116.03,116.99,115.42,116.52,1646317
